Brand,Generic,Class,Treatment,Schedule
Flexeril,Cyclobenzaprine,Muscle Relaxer ,Pain Relief ,NCLM
Zestoretic,Lisinopril/HCTZ ,ACEi/Thiazide Diuretic ,Antihypertensives,NCLM
Effexor,Venlafaxine,SNRI,Antidepressant,NCLM
Ambien,Zolpidem Tartrate,Sedative,Sleep,IV
Coumadin,Warfarin,Vitamin K Antagonist,"Anticoagulation, Blood Thinner",NCLM
OxyContin,Oxycodone,Opioid Analgesic,Pain Relief,II
"Gildess, Junel, Loestrin, Microgestin",Ethinyl Estradiol/Norethindrone,Oral Contraceptive,"Pregnancy Prevention, Hormone Regulation",NCLM
Mobic,Meloxicam,NSAID,Pain/Inflammation Relief,NCLM
Zithromax,Azithromycin,Macrolide Antibiotic,Bacterial Infection,NCLM
Flagyl,Metronidazole,Antibiotic,Bacterial Infection,NCLM
Claritin,Loratadine,"H1RA, Anti-Histamine Class: ",Allergies,OTC
Lamictal,Lamotrigine,Anticonvulsant,Seizure Prevention,NCLM
Glucotrol,Glipizide,Sulfonylurea,Diabetes Agent,NCLM
Cymbalta,Duloxetine,SNRI,Antidepressant,NCLM
"Ritalin, Concerta",Methylphenidate,Stimulant,ADHD,II
Ativan,Lorazepam,Benzodiazepine,"Anxiety, Sedative",IV
Estrace,Estradiol,Female Hormone ,Hormone Supplement ,NCLM
Zyloprim,Allopurinol,Xanthine Oxidase Inhibitor,Gout Treatment,NCLM
Deltalin,Ergocalciferol,Vitamin D Supplement,Vitamin D Supplement,NCLM
Novolog,Insulin Aspart,Rapid Acting Insulin,Diabetes Agent,NCLM
Ortho Tri-Cyclen,Ethinyl Estradiol/Norgestimate,Oral Contraceptive,"Pregnancy Prevention, Hormone Regulation",NCLM
Amaryl,Glimepiride,Sulfonylurea,Diabetes Agent,NCLM
Advair Diskus ,Fluticasone/Salmeterol ,Inhaled Corticosteroid/Long-Acting Beta-Agonist ,Asthma Treatment ,NCLM
Zyrtec,Cetirizine,"H1RA, Anti-Histamine ",Allergies,OTC
Hyzaar,Losartan/Hydrochlorothiazide ,ARB/Thiazide Diuretic ,Antihypertensive,NCLM
Paxil,Paroxetine,SSRI,Antidepressant,NCLM
Aldactone,Spironolactone,Potassium-Sparing Diuretic ,Antihypertensive,NCLM
Folate,Folic Acid ,Vitamin Supplement ,Vitamin Supplement ,NCLM
Imitrex,Sumatriptan,5HT1 Agonist ,Migraine treatment ,NCLM
"Yaz, Yazmin, Gianvi, Nikki ",Ethinyl Estradiol/Drosperinone,Oral Contraceptive ,"Pregnancy Prevention, Hormone Regulation ",NCLM
"Atarax, Vistaril ",Hydroxyzine,"H1RA, Anti-Histamine ",Allergies,NCLM
Ditropan,Oxybutynin,Anticholinergic,Overactive Bladder ,NCLM
Aricept,Donepezil,Cholinesterase Inhibitor,Alzheimer's,NCLM
Plaquenil,Hydroxychloroquine,Anti-Malarial,"Anti-Malaria, Rheumatoid Arthritis, Lupus",NCLM
Altace,Ramipril,ACEi,Antihypertensive,NCLM
OraPred,Prednisolone,Corticosteroid,Anti-inflammatory,NCLM
